name,description,location,dresscode,traffic,open_hours,special,source
Abu Minqar,"Abu Minqar (Arabic: قصر أبو منقار) is an oasis town in Qesm Al Wahat Ad Dakhlah District, New Valley Governorate, Egypt, about 93 kilometres (58 mi) by road southwest of Farafra. It is inhabited mainly by Bedouins and lies along a  historical caravan route to Kufra, Libya.",,,,,"Abu Minqar (Arabic: قصر أبو منقار) is an oasis town in Qesm Al Wahat Ad Dakhlah District, New Valley Governorate, Egypt, about 93 kilometres (58 mi) by road southwest of Farafra. It is inhabited mainly by Bedouins and lies along a  historical caravan route to Kufra, Libya.",https://en.wikipedia.org/wiki/Abu_Minqar
Bahariya Oasis,"Bahariya Oasis (Arabic: الواحات البحرية, romanized: El-Wāḥāt El-Baḥrīya, ""the Northern Oases"") is a depression and a naturally rich oasis in the Western Desert of Egypt. It is approximately 370 km away from Cairo. The roughly oval valley extends from northeast to southwest, has a length of 94 km, a maximum width of 42 km and covers an area of about 2000 km2.",,,,,"Bahariya Oasis (Arabic: الواحات البحرية, romanized: El-Wāḥāt El-Baḥrīya, ""the Northern Oases"") is a depression and a naturally rich oasis in the Western Desert of Egypt. It is approximately 370 km away from Cairo. The roughly oval valley extends from northeast to southwest, has a length of 94 km, a maximum width of 42 km and covers an area of about 2000 km2.",https://en.wikipedia.org/wiki/Bahariya_Oasis
"Baris, Egypt",Baris (Arabic: باريس) is a town in Egypt. It contains the ancient Egyptian temple of Dosh.[1],,,,,Baris (Arabic: باريس) is a town in Egypt. It contains the ancient Egyptian temple of Dosh.[1],"https://en.wikipedia.org/wiki/Baris,_Egypt"
Dakhla Oasis,"Dakhla Oasis or Dakhleh Oasis (Egyptian Arabic: الواحات الداخلة‎ El Waḥat el Daḵla, pronounced [elwæ'ħæ:t edˈdæ:xlæ], ""the inner oases""), is one of the seven oases of Egypt's Western Desert. Dakhla Oasis lies in the New Valley Governorate, 350 km (220 mi.) from the Nile and between the oases of Farafra and Kharga. It measures approximately 80 km (50 mi) from east to west and 25 km (16 mi) from north to south.[1]",,,,,,https://en.wikipedia.org/wiki/Dakhla_Oasis
Dunqul Oasis,"Dunqul Oasis is an oasis near the First Cataract of the Nile in southern Egypt.  It lies southwest of modern Aswan.  Considered one of the important oases of Ancient Egypt, it was used by General Weni as a staging point for military incursions into Nubia during the reign of Pepi I.[1]",,,,,"Dunqul Oasis is an oasis near the First Cataract of the Nile in southern Egypt.  It lies southwest of modern Aswan.  Considered one of the important oases of Ancient Egypt, it was used by General Weni as a staging point for military incursions into Nubia during the reign of Pepi I.[1]",https://en.wikipedia.org/wiki/Dunqul_Oasis
Faiyum Oasis,"The Faiyum Oasis (Arabic: واحة الفيوم Wāḥat al-Fayyum) is a depression or basin in the desert immediately west of the Nile river, 62 miles south of Cairo, Egypt. The extent of the basin area is estimated at between 1,270 km2 (490 mi2) and 1,700 km2 (656 mi2). The basin floor comprises fields watered by a channel of the Nile, the Bahr Yussef, as it drains into a desert hollow to the west of the Nile Valley. The Bahr Yussef veers west through a narrow neck of land north of Ihnasya, between the archaeological sites of El Lahun and Gurob near Hawara; it then branches out, providing agricultural land in the Faiyum basin, draining into the large saltwater Lake Moeris (Birket Qarun).[1] In prehistory it was a freshwater lake, but is today a saltwater lake.[1] It is a source for tilapia and other fish for the local area.",,,,,"The Faiyum Oasis (Arabic: واحة الفيوم Wāḥat al-Fayyum) is a depression or basin in the desert immediately west of the Nile river, 62 miles south of Cairo, Egypt. The extent of the basin area is estimated at between 1,270 km2 (490 mi2) and 1,700 km2 (656 mi2). The basin floor comprises fields watered by a channel of the Nile, the Bahr Yussef, as it drains into a desert hollow to the west of the Nile Valley. The Bahr Yussef veers west through a narrow neck of land north of Ihnasya, between the archaeological sites of El Lahun and Gurob near Hawara; it then branches out, providing agricultural land in the Faiyum basin, draining into the large saltwater Lake Moeris (Birket Qarun).[1] In prehistory it was a freshwater lake, but is today a saltwater lake.[1] It is a source for tilapia and other fish for the local area.",https://en.wikipedia.org/wiki/Faiyum_Oasis
"Farafra, Egypt","The Farafra depression (Arabic: واحة الفرافرة‎, pronounced [elfɑˈɾɑfɾɑ]) is a 980 km2 (380 sq mi) geological depression, the second biggest by size in Western Egypt and the smallest by population, near latitude 27.06° north and longitude 27.97° east. It is in the large Western Desert of Egypt, approximately midway between Dakhla and Bahariya oases.",,,,,"The Farafra depression (Arabic: واحة الفرافرة‎, pronounced [elfɑˈɾɑfɾɑ]) is a 980 km2 (380 sq mi) geological depression, the second biggest by size in Western Egypt and the smallest by population, near latitude 27.06° north and longitude 27.97° east. It is in the large Western Desert of Egypt, approximately midway between Dakhla and Bahariya oases.","https://en.wikipedia.org/wiki/Farafra,_Egypt"
Kharga Oasis,"The Kharga Oasis (Arabic: الخارجة al-Ḫāriǧa, pronounced [elˈxæɾɡæ]) lit. 'the outer'; Coptic: (ϯ)ⲟⲩⲁϩ ⲛ̀ϩⲏⲃ (di)wah enhib, ""Oasis of Hib"", (ϯ)ⲟⲩⲁϩ ⲙ̀ⲯⲟⲓ (di)wah empsoi ""Oasis of Psoi"") is the southernmost of Egypt's five western oases. It is located in the Western Desert, about 200 km (125 miles) to the west of the Nile valley. ""Kharga"" or ""El Kharga"" is also the name of a major town located in the oasis, the capital of New Valley Governorate.[2] The oasis, which was known as the 'Southern Oasis' to the Ancient Egyptians, the 'outer' (he Exotero) to the Greeks[3] and Oasis Magna to the Romans, is the largest of the oases in the Libyan Desert of Egypt. It is in a depression about 160 km (100 miles) long and from 20 km (12 miles) to 80 km (50 miles) wide.[4] Its estimated population is 87,482 as of 2023.[1]",,,,,,https://en.wikipedia.org/wiki/Kharga_Oasis
Moghra Oasis,"The Moghra Oasis is an uninhabited oasis in the northeastern part  of the Qattara Depression in the Western Desert of Egypt. It has a 4 km2 (1.5 mi2) lake containing brackish water, salt marshes and a swamp with reeds.",,,,,"The Moghra Oasis is an uninhabited oasis in the northeastern part  of the Qattara Depression in the Western Desert of Egypt. It has a 4 km2 (1.5 mi2) lake containing brackish water, salt marshes and a swamp with reeds.",https://en.wikipedia.org/wiki/Moghra_Oasis
Qara Oasis,"The Qara Oasis (also spelt Cara or Gara; Arabic: واحة القارة; also Qarat Umm El Sagheir, i.e. قارة أم الصغير) is an inhabited oasis in Egypt, with a population of 363 (as of the 11 November 2006 census).[1] This oasis is often disregarded when it comes to counting the number of Egyptian oases as it is very small compared to the others. In local folklore, if a newborn arrives, an elder will die shortly after, thus keeping the population constant. It lies at the northwest edge of the Qattara Depression, 75 km (47 mi) northeast of Siwa Oasis, and belongs to Siwa District within Matrouh Governorate. It is connected to an asphalted sub-road of approximately 100 km (62 mi) in length, in an area called “Bir al-Nisf” located on the Matrouh–Siwa road.",,,,,,https://en.wikipedia.org/wiki/Qara_Oasis
